UniqueCount	AmbigCount
34	0
69	0
18	0
28	0
60	0
0	0
7	0
106	10
33	0
6	0
41	0
105	6
128	0
361	16
27	0
120	21
45	0
20	0
14	0
69	0
75	0
79	0
17	0
88	0
6	0
33	0
129	14
118	0
28	0
99	0
130	0
131	28
115	0
68	0
29	3
30	0
98	10
36	0
22	0
0	0
104	0
0	0
132	0
61	2
30	0
35	0
28	0
40	0
73	0
37	0
47	8
6	0
41	0
184	9
7	0
137	13
11	0
103	0
83	0
79	0
17	0
249	4
59	0
2	0
65	2
58	0
178	8
198	0
114	0
18	7
367	0
2	0
139	0
143	0
163	0
77	18
64	0
117	6
25	0
69	0
158	8
96	0
86	0
20	0
15	0
6	1
88	5
120	0
176	1
106	0
8	0
69	3
20	0
51	0
76	0
103	13
15	0
28	0
32	0
132	0
297	0
74	0
107	0
59	0
84	0
75	13
102	1
74	0
30	0
58	10
14	0
10	0
48	0
152	0
14	0
141	0
4	0
55	9
9	0
45	0
7	0
112	0
104	0
49	0
138	4
216	15
115	0
32	2
21	0
69	0
70	8
71	0
187	0
97	14
131	13
65	0
35	0
52	0
37	0
18	0
97	0
141	0
83	0
101	0
1	0
20	0
94	0
31	0
1	0
24	4
104	0
212	5
23	0
3	0
166	0
21	10
24	0
129	6
176	13
84	2
43	0
14	0
61	0
14	0
38	0
2	0
162	6
8	0
73	0
13	0
86	0
28	4
62	0
7	6
160	0
46	0
56	0
7	0
109	0
26	0
36	0
77	0
20	0
9	17
190	10
79	4
51	0
70	16
79	0
30	4
43	1
51	0
0	0
27	0
82	15
34	0
139	0
0	0
16	0
64	0
16	5
40	6
76	0
18	0
30	0
0	0
42	0
58	2
40	2
108	0
12	6
70	0
2	0
29	0
130	6
29	0
175	0
98	0
133	10
107	0
47	0
19	8
2	0
4	0
5	0
8	0
7	1
95	0
57	0
10	0
77	0
23	1
10	0
43	14
16	0
10	0
219	0
10	6
116	4
18	0
82	0
71	0
29	0
32	0
9	4
53	0
151	1
17	1
28	6
0	0
1	0
15	0
52	0
147	0
185	0
9	0
2	1
60	0
4	0
11	1
101	18
0	0
7	0
116	2
42	0
57	0
11	0
10	0
11	0
87	0
1	0
50	15
68	10
207	0
29	0
20	0
75	0
0	0
159	0
167	0
16	0
76	0
11	0
49	0
195	0
9	0
25	0
24	0
324	0
0	0
26	0
105	0
67	0
66	0
55	0
7	0
0	0
36	0
93	0
87	0
6	0
11	0
95	0
78	0
33	0
73	0
19	0
127	0
102	12
25	0
51	0
133	0
0	0
20	9
42	0
172	0
4	0
39	3
68	0
23	0
9	0
17	0
108	0
87	0
15	0
0	0
21	0
15	8
29	0
178	2
28	0
82	0
163	0
33	0
15	0
114	1
6	0
8	0
34	0
65	3
81	0
210	3
78	3
68	1
15	8
38	0
23	0
56	9
29	0
24	0
46	0
118	0
19	0
69	3
50	0
4	0
80	0
39	8
13	0
204	0
73	0
26	0
6	0
14	14
7	0
10	0
60	0
4	0
0	0
50	0
72	13
120	0
17	0
18	0
80	2
131	7
63	0
109	0
83	0
0	0
93	0
80	0
114	0
48	3
5	3
126	14
45	0
76	0
62	3
110	2
54	0
10	0
87	0
1	0
5	0
151	18
77	0
16	3
66	20
48	0
103	0
26	0
13	0
5	6
73	0
9	0
62	0
118	0
240	0
7	0
50	0
6	0
41	6
0	0
100	0
145	0
3	0
14	0
27	0
46	0
20	0
40	0
272	10
75	13
23	1
16	0
50	1
38	0
15	0
47	0
2	0
155	0
62	0
17	0
0	0
98	0
46	0
34	0
21	0
32	0
12	0
49	0
31	0
104	0
34	0
7	0
6	0
83	5
0	0
64	0
38	0
34	0
203	0
30	0
163	0
158	0
80	0
17	0
47	0
89	3
26	3
197	10
64	0
6	0
90	8
59	0
2	0
193	0
76	0
81	10
2	0
31	0
176	0
35	0
12	0
34	0
37	0
97	0
21	0
71	0
97	0
105	3
7	0
131	13
10	14
40	0
40	0
66	4
94	0
76	0
13	0
63	0
33	6
28	0
96	10
49	0
14	0
32	0
151	0
25	0
90	0
7	0
5	0
2	0
55	11
23	0
7	8
8	0
13	0
24	0
95	0
5	0
77	10
12	0
