UniqueCount	AmbigCount
0	0
23	0
51	0
42	0
189	0
216	0
156	0
154	0
33	0
20	0
71	0
219	0
161	0
162	0
194	0
627	33
4	42
290	13
7	0
244	0
174	0
327	0
171	0
253	0
1	0
0	0
213	19
26	0
201	0
17	0
68	13
5	0
258	19
104	11
212	0
1	0
82	22
123	0
145	0
153	0
118	0
251	16
0	0
115	0
276	0
70	0
30	0
0	0
172	24
82	0
270	29
166	0
186	0
9	0
294	0
268	0
125	0
203	0
268	0
190	0
111	25
160	0
187	10
507	0
21	0
5	0
293	0
108	9
109	44
4	0
135	0
59	0
559	0
324	20
328	0
210	0
166	0
797	0
97	29
11	0
85	0
1	0
106	0
904	0
147	3
482	21
141	0
11	0
22	0
13	0
297	0
209	0
67	4
175	0
194	29
0	0
358	0
56	0
235	0
0	0
3	0
566	0
324	0
415	6
205	26
75	34
39	0
47	0
105	0
32	3
147	0
78	10
98	0
193	0
312	0
38	0
79	5
27	0
232	0
119	0
54	0
311	33
93	0
213	0
204	0
174	4
7	0
119	0
281	0
30	0
398	23
32	0
1	0
0	0
183	0
9	0
0	0
100	36
0	0
210	0
105	0
199	6
23	0
186	0
0	0
223	0
201	0
8	0
317	0
152	0
35	0
3	0
67	0
58	2
8	0
332	0
164	0
0	0
2	0
38	0
196	0
272	0
266	0
136	0
90	0
96	0
34	0
233	25
142	0
154	0
198	0
399	0
382	30
226	0
46	0
21	0
336	0
139	0
25	0
285	0
1	0
2	0
233	23
131	0
217	19
0	0
744	0
84	0
340	0
75	0
24	0
223	17
15	0
180	3
380	0
16	0
223	0
214	0
121	0
135	0
259	0
552	0
151	0
269	0
43	0
191	0
0	0
236	0
143	0
323	0
210	0
226	4
175	0
126	0
1	0
348	10
152	0
222	0
198	0
16	0
113	19
2	0
232	0
123	0
109	0
0	0
83	0
36	0
189	23
112	0
55	0
3	0
126	0
52	0
3	0
251	0
205	0
447	0
547	26
63	0
0	0
170	0
217	0
150	0
117	2
156	0
28	6
63	0
238	0
115	0
7	0
180	19
249	10
60	4
494	0
114	0
115	0
112	20
1	0
124	0
40	3
358	0
254	0
376	0
18	0
199	0
166	0
398	0
16	0
145	0
277	0
0	0
87	0
151	0
6	0
14	0
250	0
161	0
85	0
14	0
236	0
228	0
68	0
103	0
179	0
57	0
211	0
4	0
102	0
198	0
0	0
216	0
76	26
129	28
96	0
503	0
11	0
21	0
157	0
23	0
197	0
32	0
272	0
6	0
54	0
164	0
167	0
161	8
19	0
121	0
271	0
134	27
151	13
722	0
236	0
79	0
108	25
19	0
3	0
89	1
73	0
78	35
229	0
202	0
102	32
2	0
110	0
296	0
317	0
47	0
87	1
1	0
100	0
38	0
3	0
9	0
224	0
39	0
210	0
339	0
166	17
12	0
52	0
144	0
377	0
125	0
258	4
145	0
85	0
283	34
28	0
320	0
153	0
4	0
217	0
28	0
149	25
247	0
190	0
0	0
25	0
168	0
11	0
158	0
146	0
46	0
45	0
224	0
5	0
322	0
156	0
6	0
126	0
43	0
64	0
314	27
39	0
794	0
35	0
452	0
2	0
131	0
1	0
139	0
218	0
137	0
232	3
209	0
65	17
6	0
51	1
374	0
0	0
102	0
149	0
13	0
65	0
194	33
248	0
52	0
225	0
43	0
339	0
78	24
70	0
61	0
132	26
176	0
226	0
186	0
34	5
239	0
337	0
168	23
36	0
6	0
173	0
172	0
313	13
211	0
37	0
17	20
112	0
232	0
0	0
303	0
166	0
223	0
163	0
109	0
4	0
215	0
203	0
164	20
159	0
247	0
79	0
410	33
267	0
250	0
16	0
146	33
144	0
14	0
233	0
2	0
196	0
25	0
230	0
235	0
200	0
16	0
370	0
507	0
0	0
114	0
2	0
222	0
322	0
0	0
222	0
185	0
56	28
106	0
582	20
119	4
78	0
0	0
155	0
125	15
0	0
153	0
34	0
50	0
137	0
189	0
156	0
153	0
296	16
143	0
0	22
24	0
7	0
27	0
18	0
403	0
65	0
24	0
74	0
136	0
220	0
127	0
124	21
11	0
13	0
426	0
201	0
25	0
145	0
136	0
81	0
82	0
221	0
109	0
102	0
130	0
0	22
1	0
316	0
265	0
470	10
3	0
64	0
0	0
293	0
82	4
102	0
20	0
216	20
84	0
5	0
13	0
144	0
0	0
126	0
210	0
139	0
50	0
122	0
360	13
42	0
269	0
36	0
280	0
2	0
61	0
0	22
231	32
1	0
137	0
146	0
203	0
8	3
0	0
150	3
17	0
136	0
293	29
2	0
6	0
36	0
253	0
101	0
8	0
49	0
267	0
8	0
33	0
322	0
205	0
2	0
9	0
147	14
506	0
21	0
170	25
112	7
311	0
0	0
72	0
90	0
72	22
0	0
1	0
256	26
3	2
24	0
149	0
6	0
240	0
319	11
402	0
11	0
6	0
224	25
71	0
14	0
1	0
111	16
55	0
364	0
50	5
139	0
129	0
192	0
8	0
2	0
110	0
36	0
0	3
92	0
115	0
0	0
43	0
226	0
206	0
178	0
147	0
44	0
41	0
232	0
9	0
8	0
41	0
140	0
205	0
142	0
3	0
196	0
266	0
78	0
91	0
103	0
251	0
0	0
28	0
1	0
156	0
24	16
264	0
16	0
332	0
231	0
55	0
34	0
28	0
126	0
32	16
2	0
77	0
29	24
202	0
6	0
212	0
107	0
57	0
108	3
13	0
0	0
177	0
191	11
90	0
87	0
135	21
34	0
122	0
254	0
261	0
101	0
20	18
140	63
300	0
5	0
64	0
162	0
11	0
303	0
15	0
12	0
181	0
47	0
264	0
153	22
295	0
77	0
253	25
67	0
151	0
0	0
0	0
31	26
75	16
21	0
175	0
1	0
138	0
7	0
124	0
10	0
44	0
8	0
6	0
162	23
61	0
259	0
565	0
16	0
16	0
115	4
98	0
218	0
53	0
138	17
181	18
158	0
44	0
96	0
294	21
30	0
10	0
2	0
40	36
97	0
399	0
160	0
176	0
50	0
22	0
73	0
253	0
8	0
188	0
172	0
11	0
28	0
50	17
60	12
160	0
93	9
178	3
255	32
157	0
288	16
0	0
2	0
19	0
3	0
1	0
1	0
94	0
263	21
88	0
73	0
5	0
90	0
